iter	Passed	Remaining
0	231	115526
1	246	61255
2	262	43534
3	374	46472
4	463	45909
5	498	41071
6	526	37067
7	563	34632
8	581	31701
9	645	31642
10	672	29893
11	862	35082
12	891	33385
13	1021	35444
14	1099	35558
15	1252	37893
16	1456	41386
17	1488	39846
18	1582	40063
19	1641	39400
20	1657	37798
21	1673	36356
22	1712	35524
23	1727	34269
24	1757	33398
25	1871	34111
26	1882	32976
27	1894	31937
28	1908	30995
29	1922	30123
30	1938	29329
31	1945	28455
32	1953	27644
33	1963	26912
34	1993	26486
35	2046	26373
36	2057	25752
37	2067	25131
38	2087	24678
39	2173	24997
40	2237	25050
41	2287	24946
42	2337	24843
43	2351	24373
44	2381	24078
45	2442	24105
46	2455	23668
47	2537	23890
48	2638	24282
49	2654	23887
50	2684	23631
51	2804	24158
52	2839	23945
53	2857	23597
54	2868	23208
55	2875	22795
56	2882	22403
57	2902	22118
58	2934	21933
59	2980	21860
60	3002	21607
61	3034	21436
62	3077	21348
63	3087	21031
64	3099	20741
65	3114	20477
66	3128	20219
67	3142	19964
68	3162	19754
69	3192	19611
70	3203	19355
71	3212	19096
72	3243	18974
73	3274	18847
74	3289	18642
75	3306	18449
76	3318	18229
77	3327	18001
78	3337	17786
79	3345	17562
80	3361	17389
81	3374	17201
82	3384	17003
83	3392	16801
84	3403	16615
85	3427	16500
86	3571	16956
87	3634	17014
88	3666	16932
89	3717	16935
90	3765	16925
91	3801	16860
92	3830	16763
93	3853	16644
94	3878	16533
95	3900	16414
96	3920	16286
97	3984	16342
98	4001	16208
99	4024	16098
100	4044	15979
101	4065	15861
102	4081	15730
103	4093	15586
104	4107	15450
105	4143	15400
106	4156	15264
107	4163	15110
108	4178	14988
109	4193	14869
110	4219	14787
111	4242	14698
112	4270	14627
113	4306	14581
114	4341	14533
115	4369	14463
116	4455	14584
117	4474	14483
118	4499	14404
119	4514	14294
120	4536	14208
121	4549	14095
122	4564	13989
123	4570	13859
124	4583	13751
125	4590	13626
126	4601	13515
127	4612	13403
128	4615	13275
129	4624	13163
130	4634	13054
131	4645	12952
132	4654	12844
133	4664	12740
134	4671	12630
135	4695	12566
136	4706	12471
137	4715	12369
138	4732	12289
139	4772	12273
140	4786	12187
141	4799	12100
142	4812	12013
143	4821	11920
144	4830	11827
145	4844	11747
146	4855	11660
147	4863	11566
148	4876	11488
149	4891	11414
150	4904	11335
151	4915	11253
152	4939	11203
153	4989	11209
154	5014	11161
155	5061	11161
156	5103	11149
157	5110	11062
158	5119	10979
159	5127	10895
160	5134	10810
161	5140	10726
162	5152	10653
163	5159	10570
164	5170	10498
165	5178	10420
